Nom du restaurant,Adresse,Commune,Détails,Type de commerce
La Strasbourgeoise,,Paris 10e Arrondissement,Restaurant traditionnel situé en face de la Gare de l'Est.,Restaurant
LA MAISON COURTINE,"157, avenue du Maine",Paris 14e Arrondissement,"Un restaurant au coeur du 14ème, proposant une cuisine inventive.",Restaurant
PASCO,"74, Bd de la Tour Maubourg",Paris 7e Arrondissement,Cuisine du sud,Cuisine Française
CHEZ FRANCOISE,"74, Bd de la Tour Maubourg",Paris 7e Arrondissement,Restaurant Gastronomique,Cuisine Française
Gallopin,40 Rue Notre Dame des Victoires,Paris 2e Arrondissement,Restaurant Paris,Cuisine Française
Café la Jatte,60 Bd Vital Bouhot,Neuilly-sur-Seine,"Restaurant, Restaurant Italien",Restaurant
Le Murat,1 boulevard Murat,Paris 16e Arrondissement,Le Murat Plongez vous dans un cadre exceptionnel d'époque Napoléonienne,Cuisine Française
LA MARÉE,"1, rue DARU",Paris 8e Arrondissement,Le restaurant La Marée est réputé à Paris car il est spécialisé dans la cuisine du poisson.,Restaurant de Poisson
Le River Café,146 Quai Stalingrad,Issy-les-Moulineaux,"Amarré aux quais de Seine à Issy les Moulineaux, le River Café est une barge de 600 m2, réunissant deux salles avec deux atmosphères différentes, une terrasse ombragée nichée dans la verdure et une terrasse plein soleil, à la proue du bateau. Ce lieu unique, sur la Seine, offre un cadre privilégié...",Cuisine Française
Jouri,12 Rue castel marly,Nanterre,Une adresse à connaitre. Un voyage le temps d'un repas dans un cadre chaleureux. Un service aux petits oignons. Recommandé les yeux fermés.,Restaurant
L'Ibérico,1 rue des Tanneurs,Nemours,Bar-restaurant de spécialités portugaises.,Restaurant
MAISON DE LA LOZERE,4 Rue Hautefeuille,Paris 6e Arrondissement,"Nouveau look, nouvelle carte ! après un an et demi de fermeture et de travaux, patrick bioulac, chef du restaurant la lozère, a retrouvé ses fourneaux pour partager avec vous les meilleures recettes lozériennes. Des produits tout droit venus du dép...",Restaurant
LE CHARMY,34 rue de Corbeil,Lisses,"Situé au coeur du village de lisses, ce restaurant traditionnel, depuis 1999, vous propose une cuisine à base de produits frais du marché.",Restaurant
Ristorante del Arte Lagny-sur-Marne,90 Avenue du Général Leclerc||Zone Commerciale la Courtillière,Lagny sur Marne,Restaurant italien à lagny-sur-marne.,Restaurant
Sushi Wasabi,30 rue Mauregard,Montévrain,Restaurant japonais à montevrain.,Restaurant
Sushi Yama,11 Grand'Place,Bussy Saint Georges,Restaurant japonais à bussy-saint-georges.,Restaurant
Di Roma Pizza,16 rue Konrad Adenauer,Bussy Saint Georges,Restaurant italien à bussy-saint-georges.,Restaurant
Escale de Jossigny,5 rue de Lagny,Jossigny,Bar-brasserie-restaurant en plein coeur du village de jossigny.,Restaurant
Shiang Yun,3 allée madame de Montespan,Bussy Saint Georges,Restaurant végétarien du temple bouddhiste fo guang shan de bussy-saint-georges.,Restaurant
L'Entre Deux,35 quai Victor Hugo,Nemours,Zélie et kévin vous accueillent dans leur nouveau restaurant situé en centre-ville de nemours. Ils vous proposent une cuisine qui mêle la culture méditerranéenne transmise par leurs familles et leur amour des produits du gâtinais.,Restaurant
Chez Prune,36 rue Beaurepaire,Paris 10e Arrondissement,Quoi de mieux qu'un petit déjeuner ou un délicieux repas avec vue sur le canal saint-martin ? chez prune vous séduira.,Restaurant
Kebab Goksu,40 grande rue,Bray-sur-Seine,"Le restaurant vous propose des spécialités grecques et turques ( kebabs, sandwichs, grillades et diverses assiettes). vous pouvez manger sur place ou à emporter.",Restaurant
Yuan,1 rue de Rome,Montévrain,Restaurant chinois à montevrain.,Restaurant
Le Restaurant du Campanile,8 avenue Marie Curie,Bussy Saint Georges,Restaurant de l'hôtel campanile à bussy-saint-georges.,Restaurant
Phuong Quyen,13 bis avenue Jacques Cartier,Bussy-Saint-Georges,Restaurant asiatique à bussy-saint-georges.,Restaurant
Le Relais du Parisis,2 avenue Jean Monnet||ZAC de l'Ambresis,Villeparisis,"Situation idéale entre les aéroports de roissy - charles de gaulle et du bourget, disneyland paris (28km), paris et le parc des expositions de paris nord-villepinte (12km). restaurant classé “2 cocottes“",Restaurant
La Terrasse,2 avenue Jean Monnet||ZAC de l'Ambresis,Bussy Saint Georges,"Situé au coeur du golf de bussy-guermantes marne-la-vallée, le restaurant la terrasse offre un cadre exceptionnel... déjeunez sur la terrasse ensoleillée ou profitez de la vue panoramique sur le green!",Restaurant
Rosa Bonheur des Buttes Chamont,"2, allée de la Cascade",Paris 19e Arrondissement,"En plein parc des buttes chaumont, ce restaurant coloré propose une cuisine simple et conviviale.",Restaurant
Au Convivial,2 bis allée des Rousselets||ZAC des Vallères,Thorigny sur Marne,Restaurant portugais à thorigny-sur-marne.,Restaurant
La Criée,2 bis allée des Rousselets||ZAC des Vallères,Saint Thibault des Vignes,Restaurant de fruits de mer à saint-thibault-des-vignes.,Restaurant
L'Édito Marne-la-Vallée,2 bis allée des Rousselets||ZAC des Vallères,Ferrières-en-Brie,Restaurant traditionnel à ferrières-en-brie.,Restaurant
Restaurant Le VIP Exclusiv Golf du Coudray,2 bis allée des Rousselets||ZAC des Vallères,Le Coudray Montceaux,Le restaurant « club v. I.p. » vous invite à un ravissement du palais dans un écrin de verdure,Restaurant
O Lapinha,46 allée des Cerisiers,Thorigny sur Marne,Restaurant franco-portugais à thorigny-sur-marne.,Restaurant
La Norma,46 allée des Cerisiers,Saint-Denis-lès-Rebais,"Restaurant de spécialités italiennes (pâtes fraîches maisons, pizza au feu de bois.  ambiance familiale.",Restaurant
Chai Eric Sertour,4 rue de Ferrières||Vieux Village,Bussy Saint Georges,"Restaurant traditionnel, cave à vins, des produits d'exception au coeur du vieux bourg de bussy-saint-georges.",Restaurant
La Tannière,6 rue des Lions,Lagny sur Marne,Restaurant traditionnel dans la rue piétonne du centre-ville de lagny-sur-marne.,Restaurant
Le Boeuf sur le Toit,34 Rue du Colisée,Paris 8e Arrondissement,"Après avoir été l'épicentre des années folles à paris et un cabaret mythique, ce restaurant a su rester un temple historique du jazz.",Restaurant
Hôtel-restaurant Campanile Fontenay-Trésigny,114 rue Bertaux,Fontenay Trésigny,"47 chambres, 80 places assises dans le restaurant, terrasse estivale, salle de séminaires de 25 places environ. Parking fermé et gratuit.",Restaurant
L'Auberge de Marrakech,21 place de l'Eglise,Saint Thibault des Vignes,Restaurant marocain à saint-thibault-des-vignes.,Restaurant
L'Auberge des Sources,15 rue de Chaintréauville,Saint Pierre lès Nemours,Restaurant de cuisine traditionnelle. L'équipe vous propose une cuisine gourmande et inventive dans une atmosphère chaleureuse !,Restaurant
Wileri - Chez Mère Jeanne,40 avenue du Maréchal de Lattre de Tassigny,Lagny-sur-Marne,Restaurant africain à lagny-sur-marne.,Restaurant
Le Quincangrogne,7 rue de l'Abreuvoir,Dampmart,Le quincangrogne allie passion et cuisine d'exception avec son restaurant étoilé au guide michelin dans un cadre atypique pour une expérience des plus raffinées.,Restaurant
Mille Eléphants,3 place Fulgence Bienvenue,Bussy Saint Georges,Restaurant asiatique à bussy-saint-georges.,Restaurant
Pizza Cesena,12 avenue des Deux Châteaux,Guermantes,Restaurant italien à guermantes.,Restaurant
Le Petit Chinon,2 rue de Meaux,Quincy-Voisins,"Café restaurant brasserie retrouvez-y une cuisine traditionnelle le midi avec des menus à 12, 50eur , 18eur00 et 25eur00.",Restaurant
Tentori,22 rue de l'Aitre,Lagny sur Marne,"Restaurant asiatique de spécialités chinoises, japonaises et thailandaises à lagny-sur-marne.",Restaurant
